k,f,name,E_semi,T_semi,obj_semi,E_active,T_active,obj_active,dE,dT,dObj
1,5,"Instance_100_5_3_0,6_0,2_10_Rep0",1422,186356,187778,4188,185871,190059,2766,-485,2281
1,5,"Instance_100_5_3_0,6_0,2_10_Rep1",392,168242,168634,4117,161359,165476,3725,-6883,-3158
1,5,"Instance_100_5_3_0,6_0,2_10_Rep2",2716,169985,172701,7536,167836,175372,4820,-2149,2671
1,5,"Instance_100_5_3_0,6_0,2_10_Rep3",2007,130752,132759,9667,128718,138385,7660,-2034,5626
1,5,"Instance_100_5_3_0,6_0,2_10_Rep4",684,143525,144209,11976,141403,153379,11292,-2122,9170
1,5,"Instance_100_5_3_0,6_0,2_20_Rep0",2311,107157,109468,6834,105619,112453,4523,-1538,2985
1,5,"Instance_100_5_3_0,6_0,2_20_Rep1",707,128164,128871,10810,123888,134698,10103,-4276,5827
1,5,"Instance_100_5_3_0,6_0,2_20_Rep2",371,137314,137685,4301,135672,139973,3930,-1642,2288
1,5,"Instance_100_5_3_0,6_0,2_20_Rep3",0,130737,130737,5468,128924,134392,5468,-1813,3655
1,5,"Instance_100_5_3_0,6_0,2_20_Rep4",0,132508,132508,4723,129812,134535,4723,-2696,2027
